time,Pressure,Temperature
0.5,99.5000072994,35.896310291

1,99.5597311933,35.9220778319

1.5,99.5000072994,35.9463349011

2,99.5000072994,35.9220778319

2.5,99.5000072994,35.896310291

3,99.5000072994,35.9220778319

3.5,99.4437965757,35.9463349011

4,99.5000072994,35.9721136474

4.5,99.4437965757,36.0464495789

5,99.4437965757,36.0464495789

5.5,99.5000072994,36.1208340499

6,99.4437965757,36.1466523192

6.5,99.4437965757,36.1952674471

7,99.4437965757,36.2712707302

7.5,99.4437965757,36.3199399695

8,99.4437965757,36.3458041635

8.5,99.4437965757,36.3960283583

9,99.4437965757,36.4203876986

9.5,99.4437965757,36.4447524225

10,99.4437965757,36.4706458559

10.5,99.4437965757,36.5453141111

11,100.360734006,36.5712313557

11.5,102.138398143,36.6200335174

12,102.426478102,36.6200335174

12.5,102.714558061,36.6459686004

13,102.942914126,36.5712313557

13.5,103.171270191,36.5453141111

14,103.747430109,36.5209270349

14.5,104.492222198,36.4706458559

15,105.12107967,36.4447524225

15.5,106.041530271,36.4203876986

16,106.958467701,36.3960283583

16.5,107.70325979,36.4203876986

17,108.736131838,36.3960283583

17.5,109.712793163,36.3960283583

18,110.685941317,36.4447524225

18.5,111.718813365,36.4447524225

19,112.635750795,36.4706458559

19.5,113.496477502,36.4447524225

20,114.357204209,36.6459686004

20.5,115.105509468,36.5453141111

21,115.962723005,36.5956296955

21.5,116.711028264,36.6703837728

22,117.512031077,36.5712313557

22.5,118.31654706,36.6459686004

23,119.005128425,36.7451896624

23.5,119.693709791,36.6703837728

24,120.43850188,36.5956296955

24.5,121.183293969,36.6703837728

25,121.931599228,36.7207575282

25.5,122.676391317,36.7207575282

26,123.47739413,36.7207575282

26.5,124.165975495,36.7451896624

27,124.914280755,36.7955985354

27.5,125.543138226,36.6703837728

28,126.291443486,36.6703837728

28.5,126.976511681,36.7451896624

29,127.665093046,36.6703837728

29.5,128.413398305,36.6459686004

30,129.158190395,36.6703837728

30.5,129.902982484,36.7711549048

31,130.819919914,36.7711549048

31.5,131.568225173,36.6703837728

32,132.369227986,36.7711549048

32.5,133.229954693,36.7207575282

33,134.034470676,36.7451896624

33.5,134.779262765,36.7955985354

34,135.524054854,36.6703837728

34.5,136.272360114,36.7711549048

35,136.960941479,36.7955985354

35.5,137.705733568,36.6703837728

36,138.566460275,36.7207575282

36.5,139.311252364,36.7451896624

37,140.056044453,36.7451896624

37.5,140.744625818,36.7451896624

38,141.492931078,36.7207575282

38.5,142.29393389,36.7207575282

39,142.982515256,36.6703837728

39.5,143.727307345,36.6703837728

40,144.531823328,36.6703837728

40.5,145.392550035,36.6703837728

41,146.137342124,36.6703837728

41.5,146.882134213,36.6703837728

42,147.570715578,36.6200335174

42.5,148.259296944,36.5956296955

43,149.004089033,36.5956296955

43.5,149.752394292,36.5712313557

44,150.440975658,36.5712313557

44.5,151.069833129,36.5712313557

45,151.758414494,36.5956296955

45.5,152.562930477,36.5453141111

46,153.307722567,36.5209270349

46.5,154.052514656,36.5209270349

47,154.800819915,36.5209270349

47.5,155.48940128,36.4950217269

48,156.234193369,36.4706458559

48.5,157.035196182,36.4706458559

49,157.723777548,36.4447524225

49.5,158.412358913,36.4706458559

50,159.100940278,36.4447524225

50.5,159.905456261,36.4706458559

51,160.594037627,36.4706458559

51.5,161.282618992,36.4447524225

52,161.971200358,36.370152443

52.5,162.659781723,36.4203876986

53,163.288639195,36.4447524225

53.5,163.97722056,36.4706458559

54,164.665801925,36.5209270349

54.5,165.354383291,36.4706458559

55,166.042964656,36.4706458559

55.5,166.731546021,36.4706458559

56,167.360403493,36.4706458559

56.5,168.048984858,36.4950217269

57,168.625144776,36.4447524225

57.5,169.197791524,36.4447524225

58,169.886372889,36.5209270349

58.5,170.459019637,36.3960283583

59,171.031666385,36.3960283583

59.5,171.779971644,36.4447524225

60,172.408829116,36.4950217269

60.5,172.984989034,36.5453141111

61,173.613846505,36.5453141111

