time,Pressure,Temperature
0,99.7318765346,24.6132073781
0.5,99.7318765346,24.5653531121
1,99.7880872583,24.5653531121
1.5,99.7318765346,24.5653531121
2,99.7318765346,24.5653531121
2.5,98.811425934,24.5653531121
3,98.811425934,24.5653531121
3.5,98.811425934,24.5653531121
4,98.811425934,24.5653531121
4.5,98.811425934,24.5653531121
5,98.811425934,24.5653531121
5.5,98.811425934,24.5653531121
6,98.811425934,24.5653531121
6.5,98.811425934,24.5653531121
7,98.811425934,24.5653531121
7.5,98.811425934,24.5421501054
8,98.811425934,24.5653531121
8.5,98.811425934,24.5653531121
9,98.811425934,24.5653531121
9.5,98.811425934,24.5653531121
10,98.811425934,24.5653531121
10.5,98.811425934,24.5653531121
11,98.811425934,24.5421501054
11.5,98.811425934,24.5653531121
12,98.811425934,24.5421501054
12.5,98.811425934,24.5653531121
13,100.936893924,24.5421501054
13.5,102.370267379,24.5653531121
14,102.08218742,24.5421501054
14.5,102.025976696,24.5653531121
15,102.08218742,24.5421501054
15.5,102.198122037,24.5421501054
16,102.370267379,24.5653531121
16.5,102.426478102,24.5421501054
17,102.482688826,24.5421501054
17.5,102.714558061,24.5421501054
18,102.770768785,24.5421501054
18.5,102.942914126,24.5421501054
19,102.99912485,24.5421501054
19.5,103.115059468,24.5421501054
20,103.171270191,24.5421501054
20.5,103.230994085,24.5421501054
21,103.287204809,24.5421501054
21.5,103.343415533,24.5421501054
22,103.45935015,24.517496222
22.5,103.45935015,24.5421501054
23,103.45935015,24.5421501054
23.5,103.45935015,24.5421501054
24,103.515560874,24.517496222
24.5,103.515560874,24.517496222
25,103.575284768,24.5421501054
25.5,103.575284768,24.5421501054
26,103.575284768,24.5421501054
26.5,103.631495492,24.5421501054
27,103.687706215,24.5421501054
27.5,103.687706215,24.5421501054
28,103.747430109,24.5421501054
28.5,103.803640833,24.517496222
29,103.803640833,24.5421501054
29.5,103.859851557,24.5421501054
30,103.919575451,24.517496222
30.5,104.031996898,24.517496222
31,104.091720792,24.517496222
31.5,104.204142239,24.5421501054
32,104.320076857,24.517496222
32.5,104.376287581,24.517496222
33,104.492222198,24.4942919063
33.5,104.608156816,24.517496222
34,104.720578264,24.517496222
34.5,104.948934329,24.517496222
35,105.237014288,24.517496222
35.5,105.409159629,24.517496222
36,105.58130497,24.4942919063
36.5,105.697239588,24.517496222
37,105.869384929,24.4942919063
37.5,105.925595653,24.4942919063
38,106.041530271,24.517496222
38.5,106.153951718,24.4942919063
39,106.269886336,24.517496222
39.5,106.385820953,24.517496222
40,106.498242401,24.517496222
40.5,106.614177018,24.5421501054
41,106.730111636,24.517496222
41.5,106.842533083,24.5421501054
42,106.958467701,24.5421501054
42.5,107.130613042,24.5653531121
43,107.302758384,24.5653531121
43.5,107.418693001,24.5653531121
44,107.531114449,24.5653531121
44.5,107.70325979,24.590005631
45,107.819194408,24.590005631
45.5,107.991339749,24.590005631
46,108.219695814,24.6132073781
46.5,108.451565049,24.590005631
47,108.620197221,24.6132073781
47.5,108.852066456,24.6132073781
48,108.964487903,24.6378585852
48.5,109.136633245,24.6378585852
49,109.308778586,24.6610591225
49.5,109.540647821,24.6610591225
50,109.712793163,24.6842590909
50.5,109.884938504,24.6842590909
51,110.057083845,24.6842590909
51.5,110.28543991,24.6842590909
52,110.457585252,24.6842590909
52.5,110.685941317,24.6842590909
53,110.917810552,24.7089084472
53.5,111.089955893,24.7089084472
54,111.262101235,24.7089084472
54.5,111.546668024,24.7089084472
55,111.718813365,24.7089084472
55.5,112.122827941,24.7089084472
56,112.351184007,24.7321072793
56.5,112.695474689,24.7089084472
57,112.980041478,24.7321072793
57.5,113.440266778,24.7321072793
58,113.728346737,24.7089084472
58.5,113.956702802,24.7321072793
59,114.300993485,24.7321072793
59.5,114.416928103,24.6842590909
60,114.645284168,24.7321072793
60.5,114.873640233,24.7089084472
61,115.045785574,24.7089084472
61.5,115.277654809,24.7321072793
62,115.506010875,24.7089084472
62.5,115.678156216,24.6842590909
63,115.962723005,24.7089084472
63.5,116.19459224,24.7089084472
64,116.595093646,24.6842590909
64.5,116.767238988,24.7089084472
65,117.339885735,24.6842590909
65.5,117.972256377,24.6842590909
66,118.544903125,24.6842590909
66.5,119.061339149,24.6842590909
67,119.465353726,24.6842590909
67.5,119.865855132,24.6842590909
68,120.322567262,24.6842590909
68.5,120.726581839,24.6842590909
69,120.954937904,24.6842590909
69.5,121.183293969,24.6842590909
70,121.471373928,24.6842590909
70.5,121.699729993,24.6842590909
71,121.987809952,24.6610591225
71.5,122.216166017,24.6842590909
72,122.448035252,24.6610591225
72.5,122.732602041,24.6610591225
73,123.020682,24.6610591225
73.5,123.364972683,24.6842590909
74,123.593328748,24.6842590909
74.5,123.821684813,24.6610591225
75,124.109764772,24.6610591225
75.5,124.338120837,24.6842590909
76,124.510266178,24.6610591225
76.5,124.798346137,24.6610591225
77,125.026702202,24.6610591225
77.5,125.198847544,24.6610591225
78,125.370992885,24.6610591225
78.5,125.659072844,24.6610591225
79,125.831218185,24.6610591225
79.5,126.05957425,24.6610591225
80,126.291443486,24.6842590909
80.5,126.463588827,24.6842590909
81,126.748155616,24.6842590909
81.5,126.976511681,24.6610591225
82,127.148657022,24.6610591225
82.5,127.380526257,24.6842590909
83,127.608882322,24.6842590909
83.5,127.781027664,24.6610591225
84,128.069107623,24.6610591225
84.5,128.297463688,24.6842590909
85,128.525819753,24.6842590909
85.5,128.697965094,24.6842590909
86,128.929834329,24.6842590909
86.5,129.158190395,24.6842590909
87,129.330335736,24.6610591225
87.5,129.558691801,24.6842590909
88,129.790561036,24.6842590909
88.5,130.018917101,24.6842590909
89,130.191062443,24.6842590909
89.5,130.535353125,24.6842590909
90,130.707498467,24.6842590909
90.5,130.935854532,24.6842590909
91,131.164210597,24.6842590909
91.5,131.336355938,24.6610591225
92,131.568225173,24.6842590909
92.5,131.740370515,24.6610591225
93,131.912515856,24.6842590909
93.5,132.140871921,24.6842590909
94,132.369227986,24.6610591225
94.5,132.601097221,24.6610591225
95,132.713518669,24.6610591225
95.5,133.001598628,24.6842590909
96,133.117533246,24.6610591225
96.5,133.345889311,24.6610591225
97,133.461823928,24.6610591225
97.5,133.690179993,24.6610591225
98,133.862325335,24.6610591225
98.5,134.034470676,24.6610591225
99,134.262826741,24.6610591225
99.5,134.491182806,24.6610591225
100,134.663328147,24.6610591225
100.5,134.951408106,24.6378585852
101,135.123553448,24.6378585852
101.5,135.411633407,24.6378585852
102,135.583778748,24.6378585852
102.5,135.755924089,24.6378585852
103,135.984280155,24.6378585852
103.5,136.156425496,24.6132073781
104,136.384781561,24.6378585852
104.5,136.616650796,24.6378585852
105,136.845006861,24.6378585852
105.5,137.017152203,24.6378585852
106,137.245508268,24.6378585852
106.5,137.417653609,24.6378585852
107,137.58979895,24.6132073781
107.5,137.877878909,24.6132073781
108,138.162445698,24.6378585852
108.5,138.334591039,24.6610591225
109,138.506736381,24.7089084472
109.5,138.678881722,24.7321072793
110,138.910750957,24.7567554544
110.5,139.139107022,24.7799531996
111,139.311252364,24.7799531996
111.5,139.483397705,24.7799531996
112,139.655543047,24.8031504355
112.5,139.827688388,24.8031504355
113,140.056044453,24.8031504355
113.5,140.171979071,24.8031504355
114,140.344124412,24.8031504355
114.5,140.572480477,24.8031504355
115,140.744625818,24.7799531996
115.5,140.976495054,24.7799531996
116,141.204851119,24.7799531996
116.5,141.320785736,24.7799531996
117,141.549141801,24.7799531996
117.5,141.721287143,24.7799531996
118,141.949643208,24.8031504355
118.5,142.121788549,24.7799531996
119,142.29393389,24.7799531996
119.5,142.409868508,24.7799531996
120,142.582013849,24.7799531996
120.5,142.810369915,24.7799531996
121,142.926304532,24.7799531996
121.5,143.03872598,24.7799531996
122,143.270595215,24.7799531996
122.5,143.326805939,24.7799531996
123,143.49895128,24.7799531996
123.5,143.671096621,24.7799531996
124,143.787031239,24.7799531996
124.5,143.95917658,24.7799531996
125,144.131321922,24.7799531996
125.5,144.243743369,24.7799531996
126,144.41588871,24.8031504355
126.5,144.588034052,24.7799531996
127,144.647757946,24.8031504355
127.5,144.876114011,24.7799531996
128,144.992048628,24.8031504355
128.5,145.276615417,24.7799531996
129,145.392550035,24.7799531996
129.5,145.564695376,24.7799531996
130,145.736840717,24.7799531996
130.5,145.908986059,24.7799531996
131,146.021407506,24.8031504355
131.5,146.137342124,24.8031504355
132,146.309487465,24.7799531996
132.5,146.481632807,24.7799531996
133,146.597567424,24.7799531996
133.5,146.769712766,24.7799531996
134,146.941858107,24.8031504355
134.5,147.114003448,24.8031504355
135,147.226424896,24.8031504355
135.5,147.458294131,24.8031504355
136,147.686650196,24.8277969538
136.5,147.802584814,24.8277969538
137,147.915006261,24.8277969538
137.5,148.087151602,24.8277969538
138,148.259296944,24.8277969538
138.5,148.431442285,24.8277969538
139,148.603587626,24.8509931762
139.5,148.719522244,24.8509931762
140,148.891667585,24.8277969538
140.5,149.004089033,24.8509931762
141,149.176234374,24.8277969538
141.5,149.292168992,24.8509931762
142,149.520525057,24.8031504355
142.5,149.692670398,24.8277969538
143,149.808605016,24.8031504355
143.5,149.924539634,24.8509931762
144,150.096684975,24.8277969538
144.5,150.209106422,24.8277969538
145,150.440975658,24.8509931762
145.5,150.553397105,24.8509931762
146,150.669331723,24.8277969538
146.5,150.841477064,24.8277969538
147,151.013622405,24.8277969538
147.5,151.185767747,24.8277969538
148,151.357913088,24.8277969538
148.5,151.530058429,24.8277969538
149,151.645993047,24.8277969538
149.5,151.818138388,24.8509931762
150,151.99028373,24.8277969538
150.5,152.162429071,24.8031504355
151,152.274850518,24.8277969538
151.5,152.562930477,24.8509931762
152,152.735075819,24.8509931762
152.5,152.90722116,24.8509931762
153,153.135577225,24.8509931762
153.5,153.307722567,24.8509931762
154,153.423657184,24.8509931762
154.5,153.595802526,24.8509931762
155,153.708223973,24.8509931762
155.5,153.880369314,24.8509931762
156,154.052514656,24.8509931762
156.5,154.224659997,24.8509931762
157,154.340594615,24.8509931762
157.5,154.512739956,24.8509931762
158,154.628674574,24.8509931762
158.5,154.741096021,24.8509931762
159,154.913241362,24.8509931762
159.5,155.02917598,24.8509931762
160,155.201321321,24.8509931762
160.5,155.317255939,24.8509931762
161,155.48940128,24.8509931762
161.5,155.661546622,24.8509931762
162,155.717757345,24.8509931762
162.5,155.889902687,24.8509931762
163,156.062048028,24.8509931762
163.5,156.177982646,24.8509931762
164,156.346614817,24.8509931762
164.5,156.406338711,24.8509931762
165,156.578484052,24.8509931762
165.5,156.6909055,24.8509931762
166,156.863050841,24.8509931762
166.5,157.035196182,24.8277969538
167,157.1511308,24.8509931762
167.5,157.323276141,24.8509931762
168,157.495421483,24.8277969538
168.5,157.6113561,24.8277969538
169,157.783501442,24.8277969538
169.5,157.895922889,24.8277969538
170,158.011857507,24.8277969538
170.5,158.184002848,24.8277969538
171,158.299937466,24.8277969538
171.5,158.412358913,24.8031504355
172,158.584504254,24.8277969538
172.5,158.700438872,24.8277969538
173,158.872584213,24.8031504355
173.5,158.988518831,24.8031504355
174,159.100940278,24.8277969538
174.5,159.27308562,24.8277969538
175,159.389020237,24.8031504355
175.5,159.561165579,24.8277969538
176,159.677100196,24.8277969538
176.5,159.905456261,24.8031504355
177,160.077601603,24.8031504355
177.5,160.19002305,24.8031504355
178,160.305957668,24.8031504355
178.5,160.421892286,24.8277969538
179,160.534313733,24.8031504355
179.5,160.706459074,24.8031504355
180,160.822393692,24.8031504355
