time,Temperature,Pressure
44.5,24.2796195272,108.792342562

45,24.3042809749,108.90827718

45.5,24.2796195272,109.080422521

46,24.2317448408,109.308778586

46.5,24.2796195272,109.480923927

47,24.3042809749,109.596858545

47.5,24.3521507981,109.82521461

48,24.3042809749,109.997359951

48.5,24.2317448408,110.169505293

49,24.3042809749,110.341650634

49.5,24.3042809749,110.629730593

50,24.3042809749,110.858086658

50.5,24.2085316761,111.262101235

51,24.2796195272,111.778537259

51.5,24.2317448408,112.463605454

52,24.3274909774,113.268121437

52.5,24.2317448408,114.012913526

53,24.2317448408,114.473138826

53.5,24.2564079685,114.817429509

54,24.3521507981,115.105509468

54.5,24.2317448408,115.333865533

55,24.3521507981,115.562221598

55.5,24.2317448408,115.794090834

56,24.2317448408,116.19459224

56.5,24.2564079685,116.479159029

57,24.2796195272,117.055318947

57.5,24.3042809749,117.571754971

58,24.3274909774,118.028467101

58.5,24.2317448408,118.488692401

59,24.3274909774,118.717048466

59.5,24.2317448408,118.889193808

60,24.2317448408,119.005128425

60.5,24.2796195272,119.061339149

61,24.3521507981,119.177273767

61.5,24.2564079685,119.23348449

62,24.2317448408,119.349419108

62.5,24.3042809749,119.405629832

63,24.2317448408,119.465353726

63.5,24.2317448408,119.521564449

64,24.3042809749,119.633985897

64.5,24.3042809749,119.749920514

65,24.2085316761,119.806131238

65.5,24.3042809749,119.922065856

66,24.3042809749,120.094211197

66.5,24.3274909774,120.150421921

67,24.3042809749,120.266356538

67.5,24.2796195272,120.322567262

68,24.2085316761,120.494712603

68.5,24.2317448408,120.610647221

69,24.2796195272,120.726581839

69.5,24.3042809749,120.839003286

70,24.2564079685,120.89872718

70.5,24.3042809749,121.070872521

71,24.2085316761,121.243017863

71.5,24.3042809749,121.299228586

72,24.2085316761,121.35543931

72.5,24.2796195272,121.527584651

73,24.2085316761,121.643519269

73.5,24.3042809749,121.759453887

74,24.3042809749,121.931599228

74.5,24.3042809749,122.103744569

75,24.3042809749,122.216166017

75.5,24.3521507981,122.332100635

76,24.2317448408,122.448035252

76.5,24.2317448408,122.620180594

77,24.2796195272,122.676391317

77.5,24.2796195272,122.848536659

78,24.2317448408,123.020682

78.5,24.2317448408,123.305248789

79,24.2564079685,123.421183406

79.5,24.2317448408,123.593328748

80,24.2317448408,123.765474089

80.5,24.2564079685,123.881408707

81,24.2085316761,124.053554048

81.5,24.2317448408,124.225699389

82,24.2317448408,124.397844731

82.5,24.2564079685,124.510266178

83,24.2085316761,124.742135413

83.5,24.2317448408,124.914280755

84,24.2317448408,125.026702202

84.5,24.2317448408,125.198847544

85,24.2317448408,125.370992885

85.5,24.2564079685,125.543138226

86,24.2317448408,125.715283568

86.5,24.2564079685,125.887428909

87,24.2317448408,126.05957425

87.5,24.2564079685,126.231719592

88,24.2317448408,126.347654209

88.5,24.2317448408,126.576010274

89,24.2085316761,126.748155616

89.5,24.2564079685,126.920300957

90,24.2796195272,127.036235575

90.5,24.2085316761,127.208380916

91,24.1853177147,127.436736981

91.5,24.2317448408,127.608882322

92,24.3274909774,127.781027664

92.5,24.2317448408,127.896962281

93,24.3042809749,128.125318346

93.5,24.3274909774,128.297463688

94,24.3042809749,128.413398305

94.5,24.3042809749,128.64175437

95,24.2796195272,128.813899712

95.5,24.2085316761,128.986045053

96,24.2796195272,129.158190395

96.5,24.2796195272,129.330335736

97,24.1853177147,129.558691801

97.5,24.3042809749,129.730837142

98,24.2796195272,129.902982484

98.5,24.3042809749,130.018917101

99,24.2796195272,130.247273166

99.5,24.2564079685,130.535353125

100,24.1853177147,130.76370919

100.5,24.3042809749,130.935854532

101,24.2796195272,131.107999873

101.5,24.2796195272,131.336355938

102,24.3042809749,131.452290556

102.5,24.2796195272,131.624435897

103,24.3042809749,131.796581238

103.5,24.3042809749,131.96872658

104,24.3042809749,132.084661197

104.5,24.2796195272,132.256806539

105,24.2796195272,132.485162604

105.5,24.3042809749,132.657307945

106,24.3042809749,132.829453287

106.5,24.3274909774,133.117533246

107,24.3042809749,133.289678587

107.5,24.2796195272,133.461823928

108,24.3042809749,133.690179993

108.5,24.3042809749,133.918536058

109,24.3042809749,134.150405294

109.5,24.3042809749,134.319037465

110,24.3274909774,134.607117424

110.5,24.3274909774,134.835473489

111,24.3042809749,135.00761883

111.5,24.3042809749,135.239488065

112,24.3042809749,135.411633407

112.5,24.3042809749,135.583778748

113,24.3042809749,135.755924089

113.5,24.3042809749,135.984280155

114,24.2796195272,136.156425496

114.5,24.3042809749,136.328570837

115,24.3042809749,136.500716179

115.5,24.2796195272,136.67286152

116,24.3042809749,136.845006861

116.5,24.3042809749,137.017152203

117,24.3042809749,137.189297544

117.5,24.3042809749,137.361442885

118,24.3042809749,137.533588227

118.5,24.2796195272,137.705733568

119,24.3042809749,137.990300357

119.5,24.3042809749,138.106234974

120,24.3042809749,138.278380316

120.5,24.2796195272,138.506736381

121,24.3042809749,138.678881722

121.5,24.2796195272,138.79481634

122,24.3042809749,138.966961681

122.5,24.2796195272,139.195317746

123,24.2796195272,139.367463088

123.5,24.2796195272,139.539608429

124,24.2796195272,139.599332323

124.5,24.2796195272,139.827688388

125,24.2796195272,139.999833729

125.5,24.2796195272,140.115768347

126,24.2796195272,140.344124412

126.5,24.2796195272,140.516269753

127,24.2564079685,140.632204371

127.5,24.2317448408,140.860560436

