time,Pressure,Temperature
0.5,99.5000072994,23.5407659035

1,99.5000072994,23.5407659035

1.5,99.5000072994,23.5407659035

2,99.5000072994,23.5407659035

2.5,99.5000072994,23.5407659035

3,99.5000072994,23.5407659035

3.5,99.5000072994,23.5407659035

4,99.5597311933,23.5175239953

4.5,99.5000072994,23.5407659035

5,99.5597311933,23.5407659035

5.5,99.5000072994,23.5407659035

6,99.5597311933,23.5407659035

6.5,99.5000072994,23.5407659035

7,99.5000072994,23.5407659035

7.5,99.5000072994,23.5175239953

8,99.5000072994,23.5407659035

8.5,99.5000072994,23.5407659035

9,100.016443323,23.5175239953

9.5,101.33739533,23.5175239953

10,101.737896737,23.5175239953

10.5,101.966252802,23.5407659035

11,102.025976696,23.5407659035

11.5,102.08218742,23.5407659035

12,102.198122037,23.5654591861

12.5,102.254332761,23.5407659035

13,102.254332761,23.5407659035

13.5,102.198122037,23.5407659035

14,102.598623444,23.6133895963

14.5,102.714558061,23.6366268934

15,102.714558061,23.5407659035

15.5,102.714558061,23.6133895963

16,102.714558061,23.5886987634

16.5,102.714558061,23.5886987634

17,102.654834167,23.5886987634

17.5,102.654834167,23.6133895963

18,102.654834167,23.5886987634

18.5,102.598623444,23.6366268934

19,102.654834167,23.6366268934

19.5,102.654834167,23.6133895963

20,102.598623444,23.6366268934

20.5,102.598623444,23.6133895963

21,102.654834167,23.6133895963

21.5,102.654834167,23.6366268934

22,102.598623444,23.6366268934

22.5,102.598623444,23.6366268934

23,102.654834167,23.6133895963

23.5,102.654834167,23.6133895963

24,102.654834167,23.6133895963

24.5,102.598623444,23.6366268934

25,102.598623444,23.6366268934

25.5,102.54241272,23.6366268934

26,102.598623444,23.6366268934

26.5,102.598623444,23.6366268934

27,102.598623444,23.6366268934

27.5,102.598623444,23.6133895963

28,102.598623444,23.6133895963

28.5,102.598623444,23.6133895963

29,102.598623444,23.6133895963

29.5,102.598623444,23.6133895963

30,102.654834167,23.6133895963

30.5,102.654834167,23.6366268934

31,102.770768785,23.6366268934

31.5,102.770768785,23.6366268934

32,102.826979509,23.6366268934

32.5,102.886703403,23.6133895963

33,103.115059468,23.5886987634

33.5,103.343415533,23.6133895963

34,103.403139427,23.6133895963

34.5,103.747430109,23.6366268934

35,104.091720792,23.6366268934

35.5,104.320076857,23.6133895963

36,104.548432922,23.5886987634

36.5,104.66436754,23.5407659035

37,104.780302157,23.5407659035

37.5,104.892723605,23.6133895963

38,104.948934329,23.5654591861

38.5,105.12107967,23.5654591861

