time,Pressure,Temperature
0,98.7552152103,24.5653531121
0.5,98.7552152103,24.4942919063
1,98.7552152103,24.4942919063
1.5,100.188588665,24.4942919063
2,100.360734006,24.4942919063
2.5,100.188588665,24.4942919063
3,100.248312559,24.4942919063
3.5,100.188588665,24.4942919063
4,100.248312559,24.517496222
4.5,100.360734006,24.4942919063
5,100.648813965,24.4942919063
5.5,100.705024689,24.517496222
6,100.705024689,24.4942919063
6.5,100.87717003,24.4942919063
7,100.936893924,24.517496222
7.5,101.165249989,24.4942919063
8,101.33739533,24.4942919063
8.5,101.509540672,24.517496222
9,101.681686013,24.517496222
9.5,101.910042078,24.4942919063
10,102.025976696,24.4942919063
10.5,102.254332761,24.4942919063
11,102.426478102,24.4942919063
11.5,102.654834167,24.4942919063
12,102.886703403,24.4942919063
12.5,102.99912485,24.4942919063
13,103.171270191,24.4942919063
13.5,103.343415533,24.4942919063
14,103.343415533,24.4942919063
14.5,103.45935015,24.4942919063
15,103.515560874,24.4942919063
15.5,103.575284768,24.4942919063
16,103.575284768,24.4942919063
16.5,103.631495492,24.4942919063
17,103.687706215,24.4942919063
17.5,103.747430109,24.4942919063
18,103.859851557,24.517496222
18.5,103.919575451,24.4942919063
19,103.975786174,24.4942919063
19.5,104.091720792,24.4942919063
20,104.147931516,24.4942919063
20.5,104.320076857,24.4942919063
21,104.492222198,24.4942919063
21.5,104.66436754,24.4942919063
22,104.836512881,24.517496222
22.5,105.008658223,24.4942919063
23,105.180803564,24.4942919063
23.5,105.293225011,24.4942919063
24,105.465370353,24.4942919063
24.5,105.637515694,24.4942919063
25,105.637515694,24.4942919063
25.5,105.753450312,24.4942919063
26,105.809661035,24.4942919063
26.5,105.925595653,24.4942919063
27,106.041530271,24.4942919063
27.5,106.097740994,24.4942919063
28,106.153951718,24.4942919063
28.5,106.269886336,24.4942919063
29,106.385820953,24.4942919063
29.5,106.498242401,24.4942919063
30,106.557966295,24.4942919063
30.5,106.670387742,24.4942919063
31,106.78632236,24.4942919063
31.5,106.842533083,24.4942919063
32,107.014678425,24.4942919063
32.5,107.074402319,24.4942919063
33,107.186823766,24.4710869381
33.5,107.302758384,24.4942919063
34,107.418693001,24.4942919063
34.5,107.531114449,24.4942919063
35,107.647049066,24.4942919063
35.5,107.762983684,24.4942919063
36,107.875405131,24.4942919063
36.5,107.991339749,24.4942919063
37,108.107274367,24.4710869381
37.5,108.219695814,24.4710869381
38,108.335630432,24.4942919063
38.5,108.507775773,24.4942919063
39,108.679921115,24.4942919063
39.5,108.792342562,24.4710869381
40,108.90827718,24.4942919063
40.5,109.080422521,24.4942919063
41,109.196357139,24.4942919063
41.5,109.308778586,24.4710869381
42,109.424713204,24.4942919063
42.5,109.596858545,24.4942919063
43,109.769003886,24.4942919063
43.5,109.884938504,24.4942919063
44,110.057083845,24.4942919063
44.5,110.229229187,24.4942919063
45,110.341650634,24.4942919063
45.5,110.457585252,24.4942919063
46,110.629730593,24.4942919063
46.5,110.745665211,24.4942919063
47,110.917810552,24.4942919063
47.5,111.146166617,24.4942919063
48,111.318311958,24.4942919063
48.5,111.434246576,24.4942919063
49,111.606391917,24.4942919063
49.5,111.834747983,24.4942919063
50,112.006893324,24.4942919063
50.5,112.235249389,24.4942919063
51,112.523329348,24.4942919063
51.5,112.695474689,24.4942919063
52,112.807896137,24.4942919063
52.5,112.980041478,24.4942919063
53,113.211910713,24.4942919063
53.5,113.440266778,24.4942919063
54,113.556201396,24.4942919063
54.5,113.728346737,24.4942919063
55,113.840768185,24.4942919063
55.5,114.012913526,24.4942919063
56,114.128848144,24.4942919063
56.5,114.357204209,24.4710869381
57,114.589073444,24.4942919063
57.5,114.761218785,24.4942919063
58,114.933364127,24.4710869381
58.5,115.105509468,24.4942919063
59,115.333865533,24.4942919063
59.5,115.562221598,24.4942919063
60,115.794090834,24.4942919063
60.5,116.022446899,24.4942919063
61,116.250802964,24.4942919063
61.5,116.595093646,24.4942919063
62,116.883173605,24.4942919063
62.5,117.167740394,24.4942919063
63,117.571754971,24.4942919063
63.5,117.800111036,24.517496222
64,118.028467101,24.4942919063
64.5,118.372757784,24.4942919063
65,118.660837743,24.4942919063
65.5,118.948917701,24.4942919063
66,119.23348449,24.4942919063
66.5,119.405629832,24.4942919063
67,119.633985897,24.4942919063
67.5,119.865855132,24.4942919063
68,120.094211197,24.4710869381
68.5,120.266356538,24.4942919063
69,120.43850188,24.4942919063
69.5,120.610647221,24.4710869381
70,120.782792562,24.4942919063
70.5,120.954937904,24.4942919063
71,121.127083245,24.4942919063
71.5,121.299228586,24.4710869381
72,121.471373928,24.4942919063
72.5,121.699729993,24.4710869381
73,121.759453887,24.4942919063
73.5,121.987809952,24.4942919063
74,122.103744569,24.4942919063
74.5,122.275889911,24.4942919063
75,122.388311358,24.4942919063
75.5,122.5604567,24.4942919063
76,122.732602041,24.4710869381
76.5,122.904747382,24.4942919063
77,123.076892724,24.4942919063
77.5,123.305248789,24.4942919063
78,123.421183406,24.4942919063
78.5,123.593328748,24.4942919063
79,123.821684813,24.4710869381
79.5,123.93761943,24.4942919063
80,124.109764772,24.4710869381
80.5,124.225699389,24.4942919063
81,124.454055454,24.4710869381
81.5,124.569990072,24.4942919063
82,124.742135413,24.4942919063
82.5,124.914280755,24.4942919063
83,125.14263682,24.4710869381
83.5,125.198847544,24.4942919063
84,125.370992885,24.4710869381
84.5,125.60286212,24.4710869381
85,125.715283568,24.4942919063
85.5,125.887428909,24.4942919063
86,126.05957425,24.4710869381
86.5,126.231719592,24.4942919063
87,126.347654209,24.4710869381
87.5,126.519799551,24.4710869381
88,126.748155616,24.4942919063
88.5,126.864090233,24.4942919063
89,127.036235575,24.4710869381
89.5,127.26459164,24.4942919063
90,127.436736981,24.4942919063
90.5,127.665093046,24.4942919063
91,127.896962281,24.4942919063
91.5,128.069107623,24.4710869381
92,128.241252964,24.4942919063
92.5,128.413398305,24.4942919063
93,128.697965094,24.4942919063
93.5,128.929834329,24.4710869381
94,129.101979671,24.4710869381
94.5,129.330335736,24.4942919063
95,129.502481077,24.4942919063
95.5,129.674626419,24.4710869381
96,129.902982484,24.4710869381
96.5,130.075127825,24.4942919063
97,130.479142402,24.4942919063
97.5,130.647774573,24.4942919063
98,130.879643808,24.4942919063
98.5,131.051789149,24.4942919063
99,131.280145214,24.4942919063
99.5,131.452290556,24.4942919063
100,131.624435897,24.4942919063
100.5,131.852791962,24.4710869381
101,132.024937304,24.4942919063
101.5,132.197082645,24.4710869381
102,132.369227986,24.4942919063
102.5,132.541373328,24.4710869381
103,132.713518669,24.4710869381
103.5,132.945387904,24.4710869381
104,133.057809352,24.4710869381
104.5,133.229954693,24.4710869381
105,133.402100034,24.4710869381
105.5,133.574245376,24.4710869381
106,133.690179993,24.4942919063
106.5,133.862325335,24.4942919063
107,134.0906814,24.4942919063
107.5,134.262826741,24.4942919063
108,134.434972082,24.4942919063
108.5,134.607117424,24.4710869381
109,134.779262765,24.4942919063
109.5,134.951408106,24.4942919063
110,135.067342724,24.4942919063
110.5,135.239488065,24.4942919063
111,135.411633407,24.4942919063
111.5,135.524054854,24.4942919063
112,135.696200196,24.4942919063
112.5,135.928069431,24.4942919063
113,136.040490878,24.4942919063
113.5,136.21263622,24.4942919063
114,136.384781561,24.4942919063
114.5,136.556926902,24.4942919063
115,136.67286152,24.4942919063
115.5,136.901217585,24.517496222
116,137.073362926,24.4942919063
116.5,137.189297544,24.4942919063
117,137.361442885,24.4942919063
117.5,137.533588227,24.4942919063
118,137.705733568,24.4942919063
118.5,137.877878909,24.4942919063
119,138.050024251,24.4942919063
119.5,138.222169592,24.4942919063
120,138.394314933,24.4942919063
120.5,138.506736381,24.4942919063
121,138.738605616,24.4942919063
121.5,138.910750957,24.4942919063
122,139.139107022,24.4942919063
122.5,139.25504164,24.4942919063
123,139.427186981,24.4942919063
123.5,139.599332323,24.4942919063
124,139.827688388,24.5421501054
124.5,140.056044453,24.5421501054
125,140.287913688,24.5421501054
125.5,140.46005903,24.5421501054
126,140.572480477,24.5421501054
126.5,140.804349712,24.5421501054
127,140.976495054,24.5421501054
127.5,141.204851119,24.5421501054
128,141.37699646,24.5421501054
128.5,141.549141801,24.5421501054
129,141.721287143,24.5421501054
129.5,141.893432484,24.5421501054
130,141.949643208,24.5421501054
130.5,142.121788549,24.5653531121
131,142.29393389,24.5653531121
131.5,142.29393389,24.5421501054
132,98.811425934,24.5421501054
132.5,98.7552152103,24.5421501054
133,98.811425934,24.5421501054
133.5,100.993104648,24.5421501054
134,101.621962119,24.5421501054
134.5,101.794107461,24.5421501054
135,102.025976696,24.5421501054
135.5,102.254332761,24.5421501054
136,102.482688826,24.5653531121
136.5,102.654834167,24.5653531121
137,102.886703403,24.5653531121
137.5,102.99912485,24.590005631
138,103.171270191,24.590005631
138.5,103.403139427,24.5653531121
139,103.575284768,24.5653531121
139.5,103.747430109,24.5653531121
140,103.919575451,24.5653531121
140.5,104.091720792,24.5653531121
141,104.263866133,24.5653531121
141.5,104.376287581,24.5653531121
142,104.548432922,24.5421501054
142.5,104.780302157,24.5421501054
