time,Pressure,Temperature
0.5,99.615941917,37.8552409679

1,99.615941917,37.8289998599

1.5,99.615941917,37.8552409679

2,99.615941917,37.8552409679

2.5,99.615941917,37.8799448819

3,99.5597311933,37.8552409679

3.5,99.615941917,37.8043087318

4,99.5597311933,37.8552409679

4.5,99.615941917,37.8552409679

5,99.615941917,37.8799448819

5.5,99.5597311933,37.8799448819

6,99.615941917,37.8552409679

6.5,99.615941917,37.8552409679

7,99.5597311933,37.8552409679

7.5,99.615941917,37.8552409679

8,100.87717003,37.8552409679

8.5,102.370267379,37.8043087318

9,102.942914126,37.8043087318

9.5,103.287204809,37.8552409679

10,103.631495492,37.8799448819

10.5,104.031996898,37.9061996078

11,104.376287581,37.9309163696

11.5,104.780302157,37.9556393829

12,105.293225011,37.9819144507

12.5,105.697239588,37.9819144507

13,106.730111636,38.0066504039

13.5,107.762983684,38.0329392532

14,108.964487903,38.0576882084

14.5,110.457585252,38.0576882084

15,111.374522682,38.0576882084

15.5,112.923830754,38.108752925

16,114.357204209,38.1335213012

16.5,115.506010875,38.1598446824

17,116.711028264,38.1846262158

17.5,118.144401718,38.1846262158

18,120.150421921,38.235758363

18.5,123.192827341,38.235758363

19,125.831218185,38.2869178723

19.5,127.781027664,38.3117323709

20,129.330335736,38.3629327484

20.5,130.647774573,38.4141608113

21,131.336355938,38.4902780771

21.5,131.912515856,38.5415755001

22,132.369227986,38.5664570999

22.5,132.829453287,38.5664570999

23,133.289678587,38.6442549037

23.5,133.918536058,38.6940796917

24,134.663328147,38.7969281902

24.5,135.812134813,38.8733598619

25,136.901217585,38.9248702541

25.5,137.990300357,38.9764097783

26,138.966961681,39.0279785687

26.5,139.999833729,39.001409165

27,141.032705777,39.0279785687

27.5,142.121788549,38.9764097783

28,143.270595215,39.001409165

28.5,144.359677987,39.001409165

29,145.677116823,38.9764097783

29.5,146.941858107,39.001409165

30,148.087151602,38.9764097783

30.5,149.292168992,38.9514172715

31,150.381251764,38.8733598619

31.5,151.586269153,38.8483955727

32,152.735075819,38.8234380852

32.5,153.824158591,38.8234380852

33,154.857030639,38.8234380852

33.5,155.94611341,38.8234380852

34,156.922774735,38.8234380852

34.5,157.895922889,38.8483955727

35,158.928794937,38.8483955727

35.5,160.249746944,38.8733598619

36,161.282618992,38.8733598619

36.5,162.371701764,38.8733598619

37,163.404573812,38.8234380852

37.5,164.43744586,38.8733598619

38,165.526528632,38.8234380852

38.5,166.675335298,38.8483955727

39,167.76441807,38.8733598619

39.5,168.737566224,38.8733598619

40,169.658016824,38.8998918886

40.5,170.574954255,38.8733598619

41,171.375957068,38.8998918886

41.5,172.296407668,38.8733598619

42,173.213345099,38.8733598619

42.5,174.302427871,38.8733598619

43,175.219365301,38.8234380852

43.5,176.139815902,38.8483955727

44,177.000542608,38.8234380852

44.5,177.801545421,38.8234380852

45,178.606061404,38.7969281902

45.5,179.407064217,38.7969281902

46,180.267790924,38.7969281902

46.5,181.128517631,38.7969281902

47,182.105178955,38.7719846829

47.5,183.022116385,38.7454896075

48,183.939053816,38.7719846829

48.5,184.799780523,38.6940796917

49,185.660507229,38.7205600159

49.5,186.405299318,38.6940796917

50,187.153604578,38.6940796917

50.5,187.842185943,38.6940796917

51,188.530767309,38.6940796917

51.5,189.219348674,38.6940796917

52,189.732271528,38.6691639514

52.5,190.364642169,38.6940796917

53,190.997012811,38.6940796917

53.5,191.7418049,38.6940796917

54,192.486596989,38.7205600159

54.5,193.291112972,38.6940796917

55,194.035905061,38.7205600159

55.5,194.840421045,38.6940796917

56,195.585213134,38.6940796917

56.5,196.330005223,38.6691639514

57,197.018586588,38.6940796917

57.5,197.707167953,38.6940796917

58,198.339538595,38.6940796917

58.5,198.855974619,38.6940796917

59,199.484832091,38.6691639514

59.5,200.117202732,38.6940796917

60,200.633638756,38.6691639514

60.5,201.322220122,38.6691639514

61,201.951077593,38.6691639514

61.5,202.527237511,38.6691639514

62,203.156094983,38.6442549037

62.5,203.904400242,38.6691639514

63,204.417323096,38.6940796917

63.5,204.877548396,38.6691639514

64,205.450195144,38.6940796917

64.5,205.910420444,38.6691639514

65,206.426856468,38.6691639514

65.5,206.999503216,38.6442549037

66,207.51593924,38.6691639514

66.5,207.97616454,38.6691639514

67,208.432876671,38.6940796917

67.5,208.836891247,38.7205600159

68,209.18118193,38.6940796917

68.5,209.581683336,38.6691639514

69,209.982184743,38.6940796917

69.5,210.326475425,38.6940796917

70,210.786700726,38.6940796917

70.5,211.130991408,38.6940796917

71,211.587703539,38.6940796917

71.5,211.931994221,38.6940796917

72,212.22007418,38.6940796917

72.5,212.564364863,38.6940796917

73,212.852444822,38.7205600159

73.5,213.252946228,38.6940796917

74,213.481302293,38.6940796917

74.5,213.769382252,38.6940796917

75,213.997738317,38.6940796917

75.5,214.285818276,38.6691639514

76,214.630108959,38.6940796917

76.5,214.8022543,38.6691639514

77,213.941527594,38.6177963568

77.5,116.250802964,38.6177963568

78,101.509540672,38.6177963568

78.5,101.966252802,38.6442549037

79,102.198122037,38.6177963568

79.5,99.3875858519,38.6177963568

80,99.3875858519,38.5929010651

80.5,99.3875858519,38.5929010651

81,99.3875858519,38.6177963568

81.5,99.3875858519,38.5929010651

82,99.4437965757,38.5929010651

82.5,99.3875858519,38.5664570999

83,99.4437965757,38.5664570999

83.5,99.4437965757,38.5929010651

84,99.4437965757,38.5664570999

84.5,99.4437965757,38.5664570999

