time,Pressure,Temperature
0.5,99.615941917,49.2106149224

1,99.5597311933,49.1798186705

1.5,99.5597311933,49.1798186705

2,99.615941917,49.2106149224

2.5,99.615941917,49.2994745496

3,99.615941917,49.4193847303

3.5,99.5597311933,49.5687213848

4,99.5597311933,49.7477215199

4.5,99.615941917,49.8685977775

5,99.5597311933,50.079847911

5.5,99.615941917,50.2605112218

6,99.615941917,50.4732769582

6.5,99.615941917,50.6254973772

7,99.615941917,50.7781465611

7.5,99.615941917,50.8714376123

8,99.5597311933,50.9630200304

8.5,99.615941917,50.992958352

9,99.5000072994,51.0547589962

9.5,99.5597311933,50.9630200304

10,99.5000072994,50.7185248587

10.5,99.5597311933,50.4732769582

11,99.5000072994,50.2605112218

11.5,99.5597311933,50.0485686741

12,99.5000072994,49.8979408138

12.5,99.5000072994,49.7788311736

13,99.5000072994,49.6873817891

13.5,99.5000072994,49.5979067217

14,99.5000072994,49.5687213848

14.5,99.5000072994,49.537728637

15,99.5000072994,49.5085746527

15.5,99.4437965757,49.5085746527

16,99.4437965757,49.5085746527

16.5,99.4437965757,49.5085746527

17,99.4437965757,49.5085746527

17.5,99.4437965757,49.5085746527

18,99.4437965757,49.5085746527

18.5,99.4437965757,49.5085746527

19,99.4437965757,49.5085746527

19.5,99.4437965757,49.5085746527

20,99.4437965757,49.4794358244

20.5,99.4437965757,49.5085746527

21,99.4437965757,49.5085746527

21.5,99.4437965757,49.537728637

22,99.4437965757,49.5687213848

22.5,99.4437965757,49.6581496648

23,99.4437965757,49.7788311736

23.5,99.4437965757,49.8979408138

24,99.4437965757,50.0191455958

24.5,99.4437965757,50.1701052894

25,99.4437965757,50.1701052894

25.5,99.4437965757,50.1701052894

26,99.4437965757,50.1406172016

26.5,99.4437965757,50.1701052894

27,102.598623444,50.1093034285

27.5,105.12107967,50.1406172016

28,106.670387742,50.1406172016

28.5,108.507775773,50.1701052894

29,110.401374528,50.1996092164

29.5,112.122827941,50.2309745285

